ipu_country,wpei_country,ipu_r2,wpei_r2,ipu_tmid,wpei_tmid,ipu_n,wpei_n
Kuwait,Kuwait,0.5530451304708852,0.9694578596828568,2006.3799111505043,1969.961824507264,27,237
Kyrgyz Republic,Kyrgyzstan,0.7364508731503243,0.9654759176076328,2006.2483999587143,2004.5746690857288,29,138
Lao PDR,Laos,0.37772468881438737,0.9435813462465212,2004.1735154413473,1995.7409399189528,28,230
Latvia,Latvia,0.6883840079163002,0.9276457339241272,2043.9492802663651,1997.9932096057996,29,218
Lebanon,Lebanon,0.6814034326189978,0.8887420587639,2020.9729904412288,2113.503322471286,29,108
Lesotho,Lesotho,0.9487383469263057,0.9762785833232476,2005.9664202367703,2000.429340754444,28,126
Liberia,Liberia,0.6055996865619349,0.9619434714492628,2004.2958824259024,2004.73136660279,26,152
Libya,Libya,0.9597042254330235,0.8566255408451726,2010.435819178668,2044.6048946600451,20,106
Lithuania,Lithuania,0.6239955915883052,0.925178814782766,2050.1653282782513,1999.504414298258,29,225
Luxembourg,Luxembourg,0.770556615757801,0.8982036627170631,2041.4856428921382,1945.35523383359,29,86
Madagascar,Madagascar,0.9078241092743979,0.8810190246448261,2010.385510055033,1972.052604415308,26,209
Malawi,Malawi,0.833121847093123,0.9778412839782176,2007.6046679797093,1999.319887222593,29,126
Malaysia,Malaysia,0.8298361403540822,0.8717117423716196,2016.9518101691938,1977.8737376549063,28,126
Maldives,Maldives,0.40049967239663664,0.9516652988676252,2014.1402296191532,1971.9531696349848,28,100
Mali,Mali,0.942144599037627,0.9594886405364492,2019.4202664953739,1959.4562986919416,28,125
Malta,Malta,0.8822418527142989,0.9769974067584942,2022.2712531823593,1967.069254075261,29,105
Mauritania,Mauritania,0.9614996764522193,0.9540720530371284,2004.8487201642272,2006.955671325864,25,122
Mauritius,Mauritius,0.7481736404972879,0.9819736257691128,2004.269174940916,1973.12186116996,29,126
Mexico,Mexico,0.9787883592144885,0.994870097299586,2014.1480097567132,1994.879222173677,29,161
Moldova,Moldova,0.8209023547402283,0.9842816205324284,2023.0649742275648,1998.2324695530128,28,211
Mongolia,Mongolia,0.7829886236085246,0.9397031300553378,2012.9130668143239,1995.879883843257,29,115
Montenegro,Montenegro,0.9114064321150668,0.99798537049752,2015.219846741568,1992.2967775927111,20,31
Morocco,Morocco,0.9323848260070524,0.985002600139082,2001.5356689632142,2003.843736817171,29,237
Mozambique,Mozambique,0.9330774272169686,0.986993319287441,2000.1415656998183,1992.173824732036,27,126
Myanmar,Myanmar,0.8241830406385681,0.4769182693320049,2033.3869035953435,2009.6316351152248,12,237
Namibia,Namibia,0.9631951027388951,0.9889490454759244,2013.8289942862993,1989.2344590335708,28,126
Nepal,Nepal,0.9732605121651209,0.9799369288958272,2006.6108521111562,2005.9809905374411,27,237
Netherlands,Netherlands,0.2680603453627811,0.9847825582485304,2003.6531835627125,1972.402818115147,29,150
New Zealand,New Zealand,0.8972916154684323,0.995121390445886,2018.1426803432128,1986.51512735772,29,126
Nicaragua,Nicaragua,0.9369036311324814,0.9691000130416072,2011.3169067804981,1984.8191907374933,28,126
Niger,Niger,0.8186382008176777,0.974139942453266,2001.7104132948164,1993.2272191740096,25,104
Nigeria,Nigeria,0.2325663224895258,0.9848550678076324,2020.3456026542478,1997.8027109684856,26,66
North America,North America,0.9875426623084582,0.9932890458046568,2019.505212650586,1989.8396714389417,28,185
North Macedonia,North Macedonia,0.9654189260959101,0.9787892861407252,2001.6393016832103,1957.5085516284375,29,235
Norway,Norway,0.8093229692714686,0.9652361426032132,2018.4217490678345,1965.7252523150469,29,151
Oman,Oman,0.19593862825848507,0.9753209727990284,2022.7115915177515,1971.5258040970184,22,114
Pakistan,Pakistan,0.929628144918818,0.9233846816584056,1999.072886140324,2001.872355848456,26,170
Panama,Panama,0.6971368183119461,0.9492271084306888,2014.0264610196318,1989.380068873424,28,123
Papua New Guinea,Papua New Guinea,0.1936796185179135,0.9890764761238848,2022.3518602309216,1974.3155550257488,28,126
Paraguay,Paraguay,0.8809628782159218,0.954783688472452,2001.098867653793,1989.2902542792444,28,159
Peru,Peru,0.7470426751475785,0.9496798332950848,2041.5207048481827,2001.1943262302184,28,129
Philippines,Philippines,0.9432869116265743,0.8914598242800937,2011.7385031041294,1990.644215067356,29,123
Poland,Poland,0.9190798650359253,0.9389598914687948,1991.011073171411,1911.7939802253088,29,142
Portugal,Portugal,0.9458091258406738,0.9553858484430152,2011.9829163034046,1973.461043538822,29,157
Qatar,Qatar,0.7092223157930531,0.9801190211454924,2015.6990588620456,1982.0045433875985,20,91
Romania,Romania,0.8953135026862792,0.9562202712136872,2016.2473869654705,1975.5701224425447,28,128
Russian Federation,Russia,0.8502344754883546,0.971743546269128,2006.1995525937289,1987.8785004423423,28,225
Rwanda,Rwanda,0.9574309517917198,0.9592820571897832,2001.7474409010308,1998.785939882404,29,110
Sao Tome and Principe,Sao Tome and Principe,0.7451063898099579,0.9700596955419604,2009.1384877542282,1974.516122051136,28,126
Saudi Arabia,Saudi Arabia,0.9584767679211242,0.9639332967313412,2012.173783184984,2017.7105168638043,23,166
Senegal,Senegal,0.9438709162468507,0.9802041709947026,2011.4583573585844,1960.4720327068867,29,122
Serbia,Serbia,0.9152867416196953,0.9233036900705288,2009.8822840933676,1964.5662513202176,20,195
Seychelles,Seychelles,0.20799111046997731,0.9840843358137418,2015.9148272064933,1977.801679765832,29,116
