code,entity,region,edi,idv,gini_mkt,labsh,beta,edi_tier,idv_tier,gini_tier,labsh_tier,beta_tier
BLR,Belarus,Europe,0.163,,33.3,0.5563408504514135,0.18837635,authoritarian,no_data,low_inequality,mid,high_mobility
BOL,Bolivia,South America,0.605,,37.6,0.5162735037706994,0.94905984,hybrid,no_data,low_inequality,mid,low_mobility
BRA,Brazil,South America,0.784,38.0,57.6,0.5347926826090424,0.65391201,democratic,mid,high_inequality,mid,low_mobility
BRB,Barbados,North America,0.797,,45.9,0.746558781713247,,democratic,no_data,mid,high_labsh,no_data
BTN,Bhutan,Asia,0.566,,38.6,,0.79511064,hybrid,no_data,low_inequality,no_data,low_mobility
BWA,Botswana,Africa,0.665,,61.1,0.3192073013633493,0.25690684,democratic,no_data,high_inequality,low_labsh,high_mobility
CAF,Central African Republic,Africa,0.293,,52.1,0.204247444868088,0.51230317,authoritarian,no_data,high_inequality,low_labsh,mid
CAN,Canada,North America,0.84,80.0,46.4,0.6908229194782877,0.25036272,democratic,individualist,mid,high_labsh,high_mobility
CHE,Switzerland,Europe,0.882,68.0,44.6,0.6492418662921801,0.33831581,democratic,individualist,mid,high_labsh,high_mobility
CHL,Chile,South America,0.839,23.0,48.8,0.4457376611559357,0.3575891,democratic,collectivist,high_inequality,low_labsh,high_mobility
CHN,China,Asia,0.072,20.0,47.3,0.5851118076178765,0.49308044,authoritarian,collectivist,high_inequality,high_labsh,mid
CIV,Cote d'Ivoire,Africa,0.394,,,0.5419095130637286,0.57867104,hybrid,no_data,no_data,mid,low_mobility
CMR,Cameroon,Africa,0.26,,46.7,0.5969515489414334,0.53097129,authoritarian,no_data,mid,high_labsh,mid
COD,Democratic Republic of Congo,Africa,0.306,,,,0.45483041,hybrid,no_data,no_data,no_data,mid
COG,Congo,Africa,0.243,,,,0.63039666,authoritarian,no_data,no_data,no_data,low_mobility
COL,Colombia,South America,0.679,13.0,55.2,0.476315368268941,0.82681662,democratic,collectivist,high_inequality,low_labsh,low_mobility
COM,Comoros,Africa,0.293,,42.9,,0.57169479,authoritarian,no_data,mid,no_data,low_mobility
CPV,Cape Verde,Africa,0.745,,50.6,0.5841785127466378,0.43954128,democratic,no_data,high_inequality,high_labsh,mid
CRI,Costa Rica,North America,0.862,15.0,49.4,0.5505802514585288,0.4033885,democratic,collectivist,high_inequality,mid,mid
CUB,Cuba,North America,0.176,,,,,authoritarian,no_data,no_data,no_data,no_data
CYP,Cyprus,Europe,0.773,,48.3,0.5299654099586845,0.29549772,democratic,no_data,high_inequality,mid,high_mobility
CZE,Czechia,Europe,0.849,58.0,,0.5141990842188107,0.5650965,democratic,mid,no_data,mid,low_mobility
DEU,Germany,Europe,0.828,67.0,51.7,0.6659892322243873,0.49156564,democratic,individualist,high_inequality,high_labsh,mid
DJI,Djibouti,Africa,0.25,,44.8,0.6199532720175659,0.24724992,authoritarian,no_data,mid,high_labsh,high_mobility
DNK,Denmark,Europe,0.913,74.0,49.7,0.6385476540874792,0.44558448,democratic,individualist,high_inequality,high_labsh,mid
DOM,Dominican Republic,North America,0.735,,38.8,0.5647534683142624,0.75215524,democratic,no_data,low_inequality,mid,low_mobility
DZA,Algeria,Africa,0.265,,35.3,,,authoritarian,no_data,low_inequality,no_data,no_data
ECU,Ecuador,South America,0.607,8.0,41.3,0.4988238151009017,0.78624445,hybrid,collectivist,mid,mid,low_mobility
EGY,Egypt,Africa,0.187,,33.9,0.3838915696015232,0.6389758,authoritarian,no_data,low_inequality,low_labsh,low_mobility
ERI,Eritrea,Africa,0.069,,,,,authoritarian,no_data,no_data,no_data,no_data
ESP,Spain,Europe,0.822,51.0,48.7,0.6405104511492962,0.78427309,democratic,mid,high_inequality,high_labsh,low_mobility
EST,Estonia,Europe,0.887,60.0,45.3,0.588887449573068,0.26833642,democratic,individualist,mid,high_labsh,high_mobility
ETH,Ethiopia,Africa,0.257,,34.3,,0.2683222,authoritarian,no_data,low_inequality,no_data,high_mobility
FIN,Finland,Europe,0.852,63.0,49.9,0.6207935600667387,0.27744961,democratic,individualist,high_inequality,high_labsh,high_mobility
FJI,Fiji,Oceania,0.507,,38.9,0.5478723848407919,0.28868973,hybrid,no_data,low_inequality,mid,high_mobility
FRA,France,Europe,0.865,71.0,51.7,0.6685325374474398,0.35473481,democratic,individualist,high_inequality,high_labsh,high_mobility
