entity,code,n_points,r2,v,collapse_r2,S_hat_std,t_hat_range
Moldova,MDA,74,0.9842816205324284,9.348626888953676,0.93005644154067,0.24094697543606722,13.771474136754499
Madagascar,MDG,74,0.8810190246448261,0.0050000000000117,0.9198376738827668,0.3521328426126643,4.5854711690503045
Maldives,MDV,48,0.9516652988676252,0.005000000000181,0.6899272139204097,0.1829472180545654,2.310822407231467
Mexico,MEX,74,0.994870097299586,3.142562402813048,0.9867300244445352,0.2227695286522267,5.847698549693196
North Macedonia,MKD,74,0.9787892861407252,0.610599049177183,0.8153375646102368,0.13668607286140605,2.1821066755579848
Mali,MLI,73,0.9594886405364492,0.005,0.8536018250526072,0.3096810806213786,7.369958162952221
Malta,MLT,64,0.9769974067584942,0.005,0.8859646706972495,0.15274187158350785,1.9740867348747904
Myanmar,MMR,55,0.4769182693320049,0.0050000009391849,0.457489947462816,0.48869434506929266,107.78813205561774
Montenegro,MNE,19,0.99798537049752,1.146192856553428,0.9206942915955187,0.07618749539573308,2.123622631349145
Mongolia,MNG,74,0.9397031300553378,19.9999999999997,0.8733754141546,0.19941180933996544,21.4561357950064
Mozambique,MOZ,74,0.986993319287441,19.999999999999996,0.9719595186755315,0.36139169720396086,84.28919917424352
Mauritania,MRT,74,0.9540720530371284,20.0,0.9094189953648723,0.2526253333884433,30.60397751096009
Mauritius,MUS,74,0.9819736257691128,0.5229795376620439,0.9544482949308293,0.30005561900648037,4.826722992755762
Malawi,MWI,74,0.9778412839782176,8.675392491927976,0.9621133007488654,0.37630775922252696,36.38040139175149
Malaysia,MYS,74,0.8717117423716196,0.005,0.7100321024640592,0.19553010351823788,2.0337248833028303
Namibia,NAM,74,0.9889490454759244,0.005,0.9852259176109606,0.48092719475536455,37.28954965475438
Niger,NER,74,0.974139942453266,2.493218685407766,0.960393287216732,0.35789771137705656,11.559194573269355
Nigeria,NGA,55,0.9848550678076324,13.707470207846065,0.9708069946989804,0.25054238021568387,24.002764425262537
Nicaragua,NIC,74,0.9691000130416072,4.829234170908356,0.9571668104453975,0.4326123447154639,41.05870955136602
Netherlands,NLD,74,0.9847825582485304,8.268887928904052,0.9799496204849525,0.19631216948482208,15.755783308429713
Norway,NOR,74,0.9652361426032132,17.04177382336948,0.9314449034532016,0.09091128005926363,14.336108122805037
Nepal,NPL,74,0.9799369288958272,13.568380083066076,0.9485274038027542,0.29188106574391043,31.60108592739567
New Zealand,NZL,74,0.995121390445886,10.40511177439865,0.9930020537424048,0.276673042168772,23.061573363885984
Oman,OMN,62,0.9753209727990284,0.005,0.9522175137010183,0.41180210561176467,8.773018319598417
Pakistan,PAK,60,0.9233846816584056,6.9890822669566175,0.873234084603416,0.3463194318531867,22.622736065016365
Panama,PAN,74,0.9492271084306888,0.0050000000446885,0.9500580880186329,0.4525052823073088,146.0
Peru,PER,74,0.9496798332950848,19.9999999985248,0.894148891279075,0.2540693446804652,30.957492390113163
Philippines,PHL,74,0.8914598242800937,20.0,0.7074394227329179,0.19072083816687016,22.12858071717312
Papua New Guinea,PNG,74,0.9890764761238848,0.0050000000051306,0.9833285690757984,0.433726701528092,146.0
Poland,POL,74,0.9389598914687948,0.0050000000001487,0.6553092039033104,0.14979720766962548,1.2233307905691622
North Korea,PRK,74,0.9828303476740816,0.0050000000024894,0.44913345066192956,0.08454474341111316,2.576573639017946
Portugal,PRT,74,0.9553858484430152,0.005,0.986985594787598,0.44925260506501113,96.25940956314498
Paraguay,PRY,74,0.954783688472452,0.005,0.9718909114865898,0.438593628905224,18.550395172750626
Qatar,QAT,39,0.9801190211454924,0.2988618836933647,0.9757818457920909,0.4283594283455302,5.756506129295646
Romania,ROU,74,0.9562202712136872,0.6717732837213705,0.8760168867176717,0.18652249658338185,2.666517065999826
Russia,RUS,74,0.971743546269128,13.606834107160449,0.8516936696353351,0.20035961734413874,15.488202517179623
Rwanda,RWA,74,0.9592820571897832,19.99999999999626,0.9437271457273727,0.30322375315115757,42.306863800292874
Saudi Arabia,SAU,21,0.9639332967313412,3.862013370071213,0.9427908146361317,0.2480814309373738,7.655234359517966
Sudan,SDN,71,0.7135955467704675,0.0050000001622858,0.5082896912105799,0.32622600474557983,3.420389128182843
Senegal,SEN,74,0.9802041709947026,0.005,0.9352993203149403,0.30888721465420943,7.641736793832109
Singapore,SGP,72,0.954969150678341,0.005,0.8839415523237131,0.2901366075007608,3.8380882617942147
Solomon Islands,SLB,74,0.9303878941818916,7.892894513508795,0.8506986390763799,0.11299684096788942,17.229641441546814
Sierra Leone,SLE,56,0.9765530167451656,5.380442636546971,0.9626311379881279,0.36081858578510245,24.51790196655277
El Salvador,SLV,74,0.977307014882664,7.303591668614669,0.9637066619073107,0.379843766714123,30.792070807774966
Somalia,SOM,74,0.7087574712157169,4.424348584456998,0.5165535748517387,0.08555964901451002,17.367171709791183
Serbia,SRB,74,0.9233036900705288,0.2355871216144459,0.89907931931381,0.1609495568146011,2.2561544460962115
South Sudan,SSD,74,0.8611297018341807,1.197943292378297,0.8146546363564635,0.11204640126078032,4.037652476385487
