code,entity,n_years,year_start,year_end,S_floor,S_ceil,k,t_mid,v,R2
JPN,Japan,74,1950,2023,-0.968360334058494,-0.2143684497314087,0.0772988330146695,1952.471914061728,3.133158671243392,0.965231885456464
KAZ,Kazakhstan,74,1950,2023,-0.8624167458887766,-0.2168653074912736,0.2011390377412986,1992.016516925231,10.499972973849491,0.9783848197730416
KEN,Kenya,74,1950,2023,-0.9610028192224966,-9.703114718270553e-14,0.0365253679382419,1984.681629378444,0.005,0.9822037667174364
KGZ,Kyrgyzstan,74,1950,2023,-0.9039104736428368,-0.2285207966649152,0.2777417008912423,2004.5746690857288,19.99999999786437,0.9654759176076328
KHM,Cambodia,74,1950,2023,-0.9592612199328482,-0.4306697804140887,0.4366384403049294,1999.878504401288,19.999999999999936,0.8982207390023966
KOR,South Korea,74,1950,2023,-0.9654946364514077,-4.845525162875901e-20,0.0424337619404927,1972.9045461693047,1.1141258631852915,0.9761081520155992
KWT,Kuwait,74,1950,2023,-0.8702183295201181,-0.5832816871387453,0.0368220319744822,1969.961824507264,0.0050000000000001,0.9694578596828568
LAO,Laos,74,1950,2023,-0.8567825280439704,-0.4929570579005055,0.1119404797381232,1995.7409399189528,1.7377961879263248,0.9435813462465212
LBN,Lebanon,74,1950,2023,-0.900890720194148,-6.649575050402576e-11,0.1071097283134358,2113.503322471286,19.317600424479807,0.8887420587639
LBR,Liberia,74,1950,2023,-0.7378792361032799,-0.1552065260831783,0.4723287580831388,2004.73136660279,9.2329210695234,0.9619434714492628
LBY,Libya,73,1951,2023,-0.9369311863374564,-6.408194426037768e-06,0.2387005165276325,2044.6048946600451,6.93936462989093,0.8566255408451726
LKA,Sri Lanka,74,1950,2023,-0.6314149259721318,-0.315528871352593,0.039814168052311,1946.4635383800955,0.005,0.9107976595237772
LSO,Lesotho,74,1950,2023,-0.8918262262892234,-0.1971510694254993,0.3940128844123778,2000.429340754444,20.0,0.9762785833232476
LTU,Lithuania,74,1950,2023,-0.885165658980087,-0.0506566485972741,0.1899369520697689,1999.504414298258,12.012139279380536,0.925178814782766
LUX,Luxembourg,74,1950,2023,-0.7411070997318732,-0.1687335785929685,0.4540187290764599,1945.35523383359,0.005,0.8982036627170631
