code,entity,year_start,year_end,n_years,S_now,S_range,log_R2,log_floor,log_ceil,log_k,log_tmid,ric_R2,ric_floor,ric_ceil,ric_k,ric_tmid,ric_v,dR2,status
OMN,Oman,1900,2025,114,-0.643,0.30000000000000004,0.9678006113613422,-0.9293957839254607,-0.6515727646886884,0.16962778216109042,1974.7015536095719,0.9753209727990283,-0.9266473370806154,-0.6473966337625604,0.12017833314518386,1971.5258040970186,0.005000000000000001,0.007520361437686085,ok
OWID_AFR,Africa,1900,2025,126,-0.33703570000000005,0.53112549,0.9943692886307752,-0.8584821160999171,-0.28601378518419684,0.06957119822830911,1984.1586793580234,0.9944791173476012,-0.8532244948197768,-0.2581699629098131,0.0542357516026176,1982.0201729824569,0.488333288823801,0.00010982871682596596,ok
OWID_ASI,Asia,1900,2025,126,-0.4082449,0.43682244000000003,0.9866478349214406,-0.8560697053443885,-0.29420728145294056,0.03860867047811946,1978.8771272135339,0.9886160235797485,-0.9626867881729319,-0.3974485114659479,0.2861134410293713,1996.8265371172965,19.999999999999996,0.0019681886583079455,ok
OWID_DRV,Democratic Republic of Vietnam,1945,1975,31,-0.46199999999999997,0.1359999999999999,0.5316825750511089,-0.4201693587737316,-0.5337355428845939,0.7262797352648088,1949.6711084113983,0.5316920997758232,-0.41852827287886846,-0.5337258539109002,0.7488021872898631,1949.7437831733396,1.1913901171393264,9.52472471427157e-06,ok
OWID_EUR,Europe,1789,2025,237,-0.1177317,0.76025,0.9819550894825948,-0.8554585995813793,-6.262015730967842e-23,0.030188695370601558,1954.5852246972547,0.9823086096971871,-0.8714408727393872,-2.1668580743103496e-17,0.035517501797237026,1961.216782268925,1.5909508716521108,0.00035352021459233995,ok
OWID_GDR,East Germany,1949,1990,42,-0.123,0.46799999999999997,0.48742982225777887,-0.5801750161901935,-1.2815181458456083e-13,0.026841652171747468,1999.6603917366774,0.49029693228318283,-0.5681200327639246,-7.74304217840074e-07,0.290457932158906,2023.1395180079678,14.730715597936669,0.0028671100254039628,ok
OWID_GFR,West Germany,1949,1990,42,-0.08699999999999997,0.265,0.947855645359811,-0.31663628665212684,-0.09701002279807627,0.16010744194222334,1972.978475815335,0.9480268396943978,-0.31152511344680284,-0.09254140417890785,0.13999982302269845,1972.318633752118,0.5803383066332543,0.00017119433458678834,ok
OWID_MOD,Modena,1789,1859,53,-0.943,0.007000000000000006,,,,,,,,,,,,,flat
OWID_NAM,North America,1841,2025,185,-0.23893330000000002,0.6506,0.9853131122195735,-0.80493351123595,-0.085539537491747,0.04326588917141139,1979.9622241737793,0.9932890458046567,-0.8283898335978486,-0.22004848722015563,0.21888511173785477,1989.8396714389419,8.82895400085921,0.007975933585083195,ok
OWID_OCE,Oceania,1900,2025,126,-0.27383333,0.40866667,0.9873834900333901,-0.6349032516219748,-0.3055722087268825,0.08974519311885379,1974.8182480942908,0.9875813108489072,-0.6381084364294958,-0.31048141612075336,0.10526008650003409,1976.2496722327332,1.4752384501606017,0.0001978208155171135,ok
OWID_PMA,Parma,1789,1859,60,-0.727,0.128,0.4468588756904689,-0.8400008571990063,-0.7523043475159559,1.986682122887176,1806.314537119587,0.4468588776789457,-0.840001330760409,-0.7523043477095356,1.9879834094348845,1806.036348499772,0.9430605182855468,1.98847682764125e-09,ok
OWID_RVN,Republic of Vietnam,1802,1975,168,-0.614,0.127,0.4439209548323193,-0.69817245224061,-0.6175972618375709,0.666176068521266,1954.3770903556733,0.4447949142602152,-0.6982812861455623,-0.6151700851039282,0.26057838103653885,1953.2681553091686,0.005000001487040311,0.0008739594278959206,ok
OWID_SAM,South America,1825,2025,154,-0.18966669999999997,0.7229166499999999,0.9621473903304422,-0.8468839752173399,-1.489933644569777e-24,0.0345578294792406,1983.313549082001,0.97878659769648,-0.8863092341999097,-0.16848967967640216,0.19428941343441172,1996.674269789947,10.480793034170619,0.016639207366037856,ok
OWID_SIC,Two Sicilies,1789,1860,71,-0.926,0.013000000000000012,,,,,,,,,,,,,flat
OWID_SML,Somaliland,1900,2025,95,-0.532,0.32000000000000006,0.9617485810392612,-0.789797602379059,-0.5358821279048301,0.3459619508328126,1967.4680494796678,0.962117998743892,-0.7918880882958335,-0.5358931048308807,0.6102853461949633,1978.9756071129361,5.232995024792696,0.0003694177046308367,ok
OWID_TUS,Tuscany,1789,1861,67,-0.8069999999999999,0.09899999999999998,0.8665624323744975,-0.702548813035559,-0.8030466856250972,0.4042430660255426,1800.469519479484,0.8730999156947079,-0.7071232014493736,-0.803093357367569,0.331161956753264,1799.3926225641192,0.005000000000000001,0.006537483320210424,ok
OWID_WRL,World,1789,2025,237,-0.28607819999999995,0.60614351,0.9896266366818626,-0.8727692963753473,-0.06490746598428905,0.03267831727300953,1984.6245160832743,0.9937553238564995,-0.9298312272682089,-0.2796074783091959,0.2540853920176097,1994.7039073058777,14.848880534093356,0.00412868717463688,ok
OWID_YAR,Yemen Arab Republic,1918,1990,73,-0.775,0.19499999999999995,0.9014731879046436,-0.9696147500744648,-0.8746106811013024,0.2443680621451333,1962.3276617059184,0.9023993335791366,-0.9693359543764383,-0.8666016645535506,0.12471179226008722,1960.2158833192389,0.005000000000078157,0.0009261456744930063,ok
OWID_YPR,Yemen People's Republic,1900,1990,91,-0.562,0.19700000000000006,0.952187066251774,-0.6862030527018695,-0.4822837886053203,0.1095176701658156,1970.0022429965065,0.952198563207743,-0.6864907529154789,-0.4855015767146792,0.11783568510051314,1970.2482404656107,1.156131800501481,1.149695596902589e-05,ok
OWID_ZAN,Zanzibar,1856,2025,86,-0.30300000000000005,0.6699999999999999,0.9919726083519432,-0.9465993518359739,-0.24763696084122938,0.0450402544406311,1960.4011355708155,0.9942986118515384,-0.9965524888999734,-0.29632298319756256,0.2635364675457715,1991.2621431382179,13.581885653517883,0.0023260034995952195,ok
PAK,Pakistan,1839,2025,170,-0.476,0.44799999999999995,0.906686542781157,-0.7771447533189919,-0.3820849728493343,0.09768639414442826,1994.761651507861,0.9233846816584057,-0.7838237536651836,-0.41924900828527395,0.34804209330794417,2001.872355848456,6.9890822669566175,0.01669813887724869,ok
PAN,Panama,1903,2025,123,-0.258,0.44900000000000007,0.9482159281426114,-0.5829367327126919,-0.24210641820260145,1.9999999999999993,1989.6195574226533,0.9492271084306888,-0.582554640384264,-0.24249232345899946,1.9999999999999998,1989.380068873424,0.00500000004468859,0.0010111802880774512,ok
PER,Peru,1821,2025,129,-0.22499999999999998,0.616,0.9406630019989679,-0.7580891285574849,-0.0729383246905573,0.052933535014625235,1989.050089576976,0.9496798332950847,-0.866959642882711,-0.2027827426232763,0.42407523822072835,2001.1943262302186,19.9999999985248,0.009016831296116745,ok
PHL,Philippines,1900,2025,123,-0.18999999999999995,0.6699999999999999,0.8817749987675202,-0.7752924669170462,-0.06600732248207747,0.03820968891126419,1969.5369323580596,0.8914598242800937,-0.8848246133010058,-0.173980735889864,0.3031312427010016,1990.644215067356,19.999999999999996,0.009684825512573547,ok
PNG,Papua New Guinea,1900,2025,126,-0.52,0.345,0.9886341247341659,-0.8526688533354246,-0.5468648915803866,1.9999999999999434,1974.5384242504906,0.9890764761238848,-0.8522285879115039,-0.5470858119882839,1.9999999999999998,1974.3155550257486,0.0050000000051306165,0.0004423513897189313,ok
POL,Poland,1794,2025,142,-0.122,0.8330000000000001,0.9379956212274115,-1.0392792561150515,-1.6909430685608822e-14,0.02090152801176827,1926.02557626139,0.9389598914687947,-0.9315831028495657,-2.9687221144885704e-24,0.016757956035194036,1911.7939802253088,0.005000000000148745,0.000964270241383125,ok
PRK,North Korea,1789,2025,203,-0.71,0.2489999999999999,0.9807448410027213,-0.9623795155942668,-0.7144196499548876,0.0517797579373966,1927.9385108193342,0.9828303476740815,-0.9593478515146517,-0.7090720412007878,0.035295529301615745,1914.1254512150565,0.005000000002489441,0.0020855066713602044,ok
PRT,Portugal,1789,2025,157,-0.18899999999999995,0.8929999999999999,0.9551331600313491,-0.8341062901875989,-0.11463244907972271,1.7438940272863988,1973.7696618352152,0.9553858484430153,-0.8335471698678838,-0.11400619058749523,1.3186220488102052,1973.461043538822,0.005000000000000001,0.00025268841166625755,ok
PRY,Paraguay,1811,2025,159,-0.33099999999999996,0.6469999999999999,0.9535984028966682,-0.8677004947667846,-0.32636602502569134,0.3182466873259696,1990.866419387175,0.9547836884724519,-0.8653906489424973,-0.3239497688892834,0.25411500236644696,1989.2902542792444,0.005000000000000001,0.0011852855757836789,ok
PSE,Palestine,1918,1948,31,-0.753,0.0,,,,,,,,,,,,,flat
