entity,n_points,S_floor,S_ceil,k,t_mid,v,R2,status
Egypt,195,-0.8099535375023924,-0.7009999999999998,0.4850233762798893,1970.671673167761,1.2091677341571474,0.6819318137927612,ok
El Salvador,126,-0.9714746027907125,-0.07773585893318326,0.09280047125055747,1990.6893740109247,1.9911211097136245,0.9760734275359512,ok
Equatorial Guinea,126,-0.9197553877344403,-0.17118329043795116,0.059299439773372244,1977.0381848677735,0.005000000000000001,0.952245248312148,ok
Eritrea,126,-0.8717367783536301,-0.582,0.9999999999999956,1992.1670349468948,16.54530973510483,0.5603557228206234,ok
Estonia,230,-0.840679767832162,-0.08652698228354114,0.19716335394223702,1948.1059545139258,2.474061191625994,0.987236651362114,ok
Eswatini,126,-0.8549485272280468,-0.43827747138999984,0.9999999999999999,1976.9114701442372,7.801470305638127,0.9178222776892011,ok
Ethiopia,202,-0.7337449579740452,-0.605969461601643,0.9999999999999999,1974.0127679657235,5.660814304046398,0.9762791288825867,ok
Europe,237,-0.8765123038339057,0.060357607980833276,0.02846246523001721,1946.192049964109,0.19206064465977635,0.9889677969132024,ok
Europe (population-weighted),120,-0.9136787701904551,-0.10891383322259908,0.0681108852621489,1947.9049527030993,1.2469397833995992,0.9585112868258537,ok
Fiji,124,-0.9179138799533016,0.36299999999999993,0.024157684931399054,2010.3463618980813,0.005001610184559686,0.8404605394112123,ok
Finland,126,-0.5235090003978365,-0.0003403825845304216,0.29528202498424255,1979.2148447646848,19.999999995177397,0.832434086254355,ok
France,127,-0.8245597011170733,0.20304183039143942,0.023451653708505518,1957.9973361290974,0.005000000000047629,0.9241610570633694,ok
Gabon,116,-0.9062045929253019,-0.0464132875452718,0.04915008949026322,1970.8079547286604,0.005000000000111966,0.9889204164469072,ok
Gambia,126,-0.9451824371705354,-0.1938533985712924,0.044937460114921245,1977.926246656184,0.005000000000000002,0.9590934503306052,ok
Georgia,213,-0.8546464854882414,-0.16788503896663512,0.3118083764887046,1947.2075915648963,6.923380369955597,0.9633724356370374,ok
Germany,139,-0.9576707509708875,-0.001715408922353561,0.3951186259176044,1987.194538199079,19.999999967926104,0.9009821428707177,ok
Ghana,124,-0.8156316623453685,-0.18728256846466518,0.9999999999879166,1996.7120339642472,19.99352402696104,0.9414062769636927,ok
Greece,169,-0.9946471224573835,-0.02415831506531592,0.22333716273227744,1999.0888324608893,19.999999933454855,0.9660758781620524,ok
Guatemala,161,-0.909061214348486,-0.11691942608970368,0.18760733366768054,1997.695351040703,4.26055309955087,0.9586919258727583,ok
Guinea,126,-0.94489333990698,0.4179999999999866,0.012466292830383521,2009.5756749219968,0.005000000000000086,0.5768570134168097,ok
Guinea-Bissau,126,-0.9417594570067037,-0.30345151848756424,0.5999932541995051,1973.1472592997955,0.9598067791125247,0.9660718488020372,ok
Guyana,116,-0.8222480335717144,-0.028410133242950688,0.06500835098388476,1964.3462963365575,0.005000000000078814,0.9716163333372634,ok
Haiti,198,-0.9053016494113584,-0.6128019247811844,0.9999999999999982,1992.3312563430168,15.904380208658218,0.7240601499372455,ok
Honduras,127,-0.9524897887580936,-0.0628981327989995,0.12118455472681189,1991.1353007043847,2.7423225301682264,0.9567121707601296,ok
Hong Kong,126,-0.7393727686661112,-0.04675993849526716,0.1728023554413166,1976.6314016514762,1.2582637662495602,0.9942356379467409,ok
Hungary,185,-0.9296998919337893,-0.11360619908969359,0.6935049707950333,1950.9832162895943,19.999999999998984,0.9817822275119726,ok
Iceland,103,-0.8719898091728165,-0.006895662033522869,0.5843396589295419,1989.434421569907,18.311576700107455,0.9571058701934686,ok
India,237,-0.5662960147667262,-0.2141061059271858,0.3600898457025945,1947.5725527058983,0.005000000000000001,0.987741753074474,ok
Indonesia,226,-0.8971675341296794,0.23427925481522313,0.026543136851005397,1979.3331226749458,0.005000000000953097,0.9801243902920938,ok
Iran,237,-0.9527911735889826,-0.6481282170233815,0.03191670611025524,1961.9248952946004,0.005000000000023473,0.929605597300872,ok
Iraq,216,-0.9415813540077355,-0.684967786646711,0.7117269764187542,1981.890170866004,19.999505819629082,0.8999898599218884,ok
Ireland,126,-0.795950611535975,-0.08103407296331742,0.20090183097864103,1990.4701231013462,3.5688337100426852,0.9808770427821573,ok
Israel,207,-0.945234683605979,0.003048597125369443,0.035619780514071164,1942.4787697121888,0.005000000000000001,0.9882415625131271,ok
Italy,159,-0.9276277472329257,0.0011483551413062237,0.05409073160985197,1952.086321832958,0.005000000000000066,0.9767946017984052,ok
Jamaica,104,-0.4939456545277058,-0.028999392217717947,0.0824951522527628,1962.209148675355,0.00500000000000095,0.9931587181253175,ok
Japan,227,-0.9573462945209313,-0.28619929736067995,0.05795031013768438,1947.7961496248217,0.005000000000000001,0.9416483838484196,ok
Jordan,104,-0.8573568476023118,-0.3915256588718228,0.08448190898338384,1994.258219152472,0.005000000002635079,0.9295808961207737,ok
Kazakhstan,225,-0.8525407912231546,-0.15769917071221876,0.2679064581106927,1946.6827668399858,5.806623298882737,0.9643339716503451,ok
Kenya,126,-0.9288201389259094,0.22639324057942917,0.03669504005121437,1988.6369669048606,0.005000000000000855,0.9873857090863549,ok
Kosovo,15,-0.5921997020838835,-0.05009223184054998,0.21782294848234096,2005.9968537838213,0.005000000000000001,0.9561789476596249,ok
Kyrgyzstan,138,-0.9400542717937725,-0.2153124671840212,0.6235775476931543,1949.1539960192697,19.999999999828226,0.8330803358348666,ok
Laos,230,-0.9056609565376892,-0.11159384310941245,0.5329573475408934,1998.679796306961,13.227330820875354,0.991705441359568,ok
Latvia,218,-0.8465023720574014,-0.07172722092338969,0.1375676596496665,1946.776728350916,2.3759210299978553,0.986210856670293,ok
Lebanon,104,-0.7424910455814572,-0.5997936102767079,0.06017860469375053,2003.626920374517,0.0050000000000010435,0.9196706815523682,ok
Lesotho,126,-0.7892506946271893,0.0722188020633878,0.026293473291507514,1953.9160545624216,0.00500000000000005,0.9300098472119676,ok
Liberia,152,-0.8654910677692762,-0.08040644868238561,0.999999999999147,2002.1332870140234,19.58291225187929,0.9692628804946187,ok
Libya,137,-0.8917297247214426,-0.7700211987176164,0.9999999422692639,2006.538714301156,14.154906404565885,0.6548176363088938,ok
Lithuania,225,-0.8436135756806219,-0.07540525773450972,0.04987712801600723,1927.022466269754,0.005000000000000193,0.9730525112489707,ok
Luxembourg,86,-1.0649999999999975,0.0005519625824526224,0.045807867198853984,1931.4712201090558,0.005000000000530655,0.9436362530652489,ok
Madagascar,209,-0.6277354913673665,-0.12940351494750574,0.9999999902746911,2009.668323383067,14.024544695675356,0.38314887927252794,ok
Malawi,126,-0.8188182302980164,-0.11186469812282226,0.6936870693201899,2003.6893575761721,12.067498625655425,0.982745281855431,ok
Malaysia,126,-0.728378401201334,-0.2375485982468669,0.043942268181116025,1963.1714574578366,0.005000000000000001,0.9438775519085235,ok
Maldives,100,-0.90611898499228,-0.3645020713845892,0.06253018352681347,1960.5284995472061,0.005000000000686569,0.950819538555371,ok
Mali,125,-0.8361722387748152,-0.06542365645906414,0.03686906124794576,1973.5404124214135,0.0050000000000014234,0.9291549445223231,ok
Malta,105,-0.7060754976608314,0.013718080923294209,0.1834386113712835,2010.5259808602332,6.179274459785446,0.967641593352687,ok
Mauritania,122,-0.9266622018332248,-0.14881558639153739,0.9999999999776267,2012.280070792,17.69524321385694,0.9154093456466521,ok
Mauritius,126,-0.6993630932205218,-0.07230952852496374,0.05622255442053944,1978.1044411126068,0.005000000163995364,0.9697466192790681,ok
Mexico,161,-0.8419699497733074,0.49899999998565125,0.030583565002576106,1997.6225468156651,0.338892588529473,0.9863753596831211,ok
Moldova,211,-0.8471000719192626,-0.15380310138867254,0.2765364499769585,1946.9328439244034,4.8337917817639,0.9622590314587931,ok
Mongolia,115,-0.9395433036508006,-0.17507211892318406,0.5514276179761121,1954.3412300353405,15.319063392090023,0.8759950027535692,ok
Mozambique,126,-0.8041779346321939,0.004981107761765444,0.10810581843001778,1979.5745920727206,0.005000000000000267,0.985244007701202,ok
Myanmar,203,-0.678158475119387,-0.5429999999999998,0.0012068128974418023,2074.9999999999995,0.005000000000000056,0.007231088227468319,ok
Namibia,126,-0.9474157856530641,-0.05231847519963505,0.31911453813920326,1990.1905533443983,0.005000000000000001,0.9908993649745665,ok
Nepal,237,-0.9371075465815868,0.4879999999999935,0.03298215943085314,2001.1074199024822,0.43388418200803947,0.9658130340349752,ok
Netherlands,150,-0.9237471176897114,0.01149872885570534,0.09006726884007965,1959.2041602970671,2.2620376084113145,0.9703297134022988,ok
New Zealand,126,-0.6634876822026015,-0.0008324353308982456,0.6115725217513664,1992.9795286257834,19.9999999961262,0.9894615400433445,ok
Nicaragua,126,-0.9374619559203735,-0.11297301886863403,0.999999999999999,1986.2130870186058,9.659235224128189,0.9630051402667225,ok
Niger,104,-0.7656908040420859,-0.1658061858027306,0.21011710507385697,1997.3170531156898,3.095691575396848,0.9272904313880435,ok
Nigeria,66,-0.8222517102433569,-0.36413712406778237,0.9999999999998057,2000.9891467972673,9.133155815381643,0.9680078575224381,ok
