code,bp_year,n,k_A,k_B,ratio,is_pw_winner
PRY,1990.0,159,0.00543191763191763,0.0008165482040089857,6.652292669616667,0
CHL,1990.0,143,0.008529086229086229,0.0012973721215369766,6.57412479233942,1
COL,1949.0,158,0.006860008412639992,0.0010435923327277296,6.573456126023254,0
ZMB,1964.0,115,0.006839666591120848,0.0010545073375262059,6.486125176868078,0
GEO,1930.0,213,0.007192391376539197,0.00111672697974846,6.440599633546299,0
KAZ,1929.0,225,0.006416368469693983,0.0009993749732437173,6.420381379841923,0
BLR,1929.0,219,0.006837716119251101,0.0010653253341137447,6.418430032868287,0
BHR,2016.0,126,0.018654545454545455,0.002953288675088792,6.316533027027775,1
TZA,2002.0,73,0.007521799432800667,0.0012256521739130418,6.13697718887604,1
SRB,1946.0,195,0.005803984997655883,0.0009469955382537321,6.128840911287165,1
MYS,1955.0,126,0.0026496646545942325,0.0004353725222146273,6.08597125311463,1
HKG,1979.0,126,0.0031246249413970934,0.0005174606845513427,6.038381339263016,0
GAB,1959.0,116,0.00917160188362998,0.001530900360144059,5.990985515717642,1
MNE,1917.0,31,0.006622187924081118,0.001121794871794871,5.9032075208951715,0
SEN,1959.0,122,0.0045991699257722065,0.0007820232399179773,5.881116686832212,0
BGR,1875.0,214,0.00431563171756586,0.0007499999999999987,5.754175623421157,1
OWID_RVN,1948.0,168,0.003282852543628787,0.0005709827803761267,5.749477316051904,1
HRV,1949.0,85,0.03778333333333334,0.006876807403123192,5.494313148303898,1
SYR,1946.0,233,0.0011948806373672718,0.00021772151898734172,5.4881145553496795,0
DOM,1962.0,160,0.007073717948717946,0.0013003272998947863,5.43995188695208,1
ECU,1979.0,126,0.009413159111933394,0.0017398616971401777,5.41029159237534,0
SYC,1978.0,116,0.005545049934867563,0.0010391155884338708,5.33631676455256,0
MDV,1949.0,100,0.0032364324425539883,0.0006084993997599045,5.318710986125848,0
MLT,1947.0,105,0.004331218948348024,0.0008193247248816049,5.286327651071312,1
CHE,1970.0,171,0.003222795625427205,0.0006102174791728011,5.281388579356927,0
IRQ,2003.0,235,0.006764822134387352,0.001318150921041043,5.132054324283795,1
IND,1947.0,237,0.003316114897760468,0.0006752597325053732,4.910873162030406,0
JOR,1979.0,104,0.006928075855689177,0.0014191762281214413,4.881758669858674,0
VNM,2005.0,50,0.0062856507230255815,0.0012974025974025985,4.844795852582275,0
OWID_NAM,1944.0,185,0.006913306856259727,0.0014297644730609201,4.835276709218639,0
VUT,1980.0,120,0.0005956213382670361,0.00012805120910384067,4.651430802063168,0
CHN,1949.0,237,0.0033072716756927293,0.0007153036576949619,4.623591170147631,0
RUS,1946.0,225,0.004510384435067981,0.0009776919887045453,4.613297937568558,0
MDG,1959.0,209,0.006573629180301702,0.0014628599100430081,4.493683322081358,1
SLE,2001.0,82,0.009221538461538465,0.0021010355682309703,4.389044431695564,0
PHL,1986.0,123,0.004135766266542687,0.0009637898686679173,4.2911493479993235,0
BEL,1946.0,135,0.0046026605719643714,0.0010793402758488971,4.264327640645482,0
ISR,1919.0,207,0.0035513669413809916,0.0008552268917717183,4.152543582936049,0
ITA,1946.0,159,0.00659688232536334,0.001589194973363424,4.151084313714813,0
SDN,1952.0,173,0.002164250277674934,0.0005241977364040035,4.128690620683887,1
THA,1972.0,237,0.004288355250619401,0.0010765203906686444,3.983533695962631,0
MNG,1992.0,115,0.005662596184194774,0.0014912146676852565,3.7973045108150387,0
BOL,1982.0,127,0.009628259337561663,0.0026597647562620497,3.619966508276062,0
YEM,2014.0,162,0.001020172388330926,0.00028321678321677917,3.6020901612672716,1
OWID_ASI,1945.0,126,0.004595126348012648,0.0012788216299722485,3.5932504114059802,0
,1946.0,1289,0.0050770913881622685,0.0014186056118450784,3.578930849962493,0
OWID_ZAN,1919.0,86,0.005917838265050507,0.0016632326007326,3.5580340731921027,0
DEU,1933.0,139,0.011105814863363372,0.0032996634655046756,3.365741682285398,1
RWA,1997.0,110,0.005266475114550342,0.0015871921182266024,3.3181081572120372,0
KGZ,1929.0,138,0.005664716877290994,0.0017137793024585481,3.30539461479347,0
GUY,1957.0,116,0.003440894322112229,0.001055123196653237,3.2611303902960906,0
GNQ,1979.0,126,0.003974676225716928,0.0012244374120956392,3.2461244539353156,0
OWID_YAR,1962.0,73,0.0017059113300492612,0.0005357048748353102,3.1844237567815736,0
